id,question1
0,Why does photosynthesis need light?
1,What is the function of the mitochondria?
2,How does DNA replication work?
3,What is the difference between mitosis and meiosis?
4,Explain the theory of evolution by natural selection.
5,How does gravity work in space?
6,What are Newton's three laws of motion?
7,Explain the theory of general relativity.
8,What is the difference between speed and velocity?
9,How do magnetic fields work?
10,What is an endothermic reaction?
11,How do you balance a chemical equation?
12,What are covalent and ionic bonds?
13,Explain the periodic table trends.
14,What is the pH scale?
15,What is the quadratic formula?
16,How do you solve a system of linear equations?
17,Explain the Pythagorean theorem.
18,What is a derivative in calculus?
19,How do you calculate the probability of independent events?
20,How do neural networks learn?
21,What is the difference between a stack and a queue?
22,Explain object-oriented programming.
23,How does a basic electric circuit work?
24,What is time complexity and Big O notation?
